Date,Commodity,Price,Unit,Source,Retrieved_At
2026-07-10,Anhydrous Ammonia,1057.5,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-10,DAP,903.94,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-10,MAP,1011.49,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-10,Potash (MOP),562.49,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-10,Ammonium Sulfate (AMS),688.0,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-24,Urea,709.1,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-24,UAN 28%,534.39,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-24,UAN 32%,556.02,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-24,Anhydrous Ammonia,976.4,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-24,DAP,705.54,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-24,MAP,941.8,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-24,Potash (MOP),506.71,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-24,Ammonium Sulfate (AMS),425.0,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-31,Urea,806.5,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-31,UAN 28%,600.0,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-31,UAN 32%,776.67,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-31,DAP,956.83,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-31,MAP,1083.17,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-31,Potash (MOP),599.6,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-31,Ammonium Sulfate (AMS),581.17,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-08-07,Urea,711.94,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-08-07,UAN 28%,526.5,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-08-07,UAN 32%,570.5,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-08-07,Anhydrous Ammonia,852.5,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-08-07,DAP,715.35,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-08-07,MAP,931.82,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-08-07,Potash (MOP),508.11,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-08-07,Ammonium Sulfate (AMS),425.0,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-08-21,Urea,726.0,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-08-21,UAN 28%,555.84,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-08-21,UAN 32%,605.0,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-08-21,Anhydrous Ammonia,890.0,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-08-21,DAP,937.03,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-08-21,MAP,935.0,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
